id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Strings,Anna Vale,classical,calm,0.18,68,0.42,0.22,0.96
12,Highway Dust,Red Hollow,country,nostalgic,0.57,96,0.63,0.61,0.48
13,Iron Horizon,Black Ember,metal,intense,0.95,168,0.31,0.74,0.06
14,Blue Porch Light,June Carteret,blues,reflective,0.41,84,0.46,0.55,0.72
15,Paper Lantern Waltz,Mira Thorne,classical,peaceful,0.24,74,0.51,0.18,0.98
16,Backroad Revival,Dust River,country,upbeat,0.68,122,0.79,0.77,0.34
17,Neon Afterglow,The Static Room,rock,energized,0.86,146,0.58,0.83,0.12
18,City Soul Drive,Marin Fox,soul,warm,0.52,104,0.71,0.69,0.27
19,Midnight Crosswalk,North Avenue,hip hop,confident,0.79,112,0.66,0.88,0.14
20,Sunlit Market,Greenfield Band,folk,cheerful,0.36,88,0.74,0.57,0.83
